Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
27345310,Stir-fried chicken & veggies on rice,0.70525,0.39928,0,0.00434,1.38663,62.08587,0.38798,234.36,2.8861
27347100,Chicken or turkey pot pie,2.43798,0.37228,0,0,1.46869,220.25583,0,488.05,8.7849
27347100,Chicken or turkey pot pie,2.70648,0.41328,0,0,1.63044,244.51308,0,541.8,9.7524
27347100,Chicken or turkey pot pie,4.87596,0.74456,0,0,2.93738,440.51166,0,976.1,17.5698
27363000,"Gumbo (with rice, New Orleans type)",0.488,0.57096,0,0,1.36396,13.79088,0,192.76,1.6104
27363100,Jambalaya (with meat & rice),0.8296,0.33184,0,0,3.53556,105.80328,0,392.84,6.1732
27420080,Greens with ham or pork,0,0.39096,0,0,0.29448,6.77808,0,38.88,0.576
27445110,Stir-fried chicken and vegetables,0.11745,0.2916,0,0,0.76221,5.78826,0,89.91,0.8505
27445150,General Tso chicken,0.30806,0.09709,0,0.00219,0.83658,43.50654,8.66176,148.19,2.0002
27445220,Kung Pao chicken,0.04617,0.16038,0,0,1.82493,0,3.54158,217.08,2.592
27446200,"Chicken salad (with celery, mayo)",0,0.18837,0,0,1.88916,0.59787,0,208.39,2.821
27450060,"Tuna salad (with celery, mayo)",0,0.19032,0,0,2.02696,0.53352,2.0454,191.36,1.7992
27450080,"Seafood salad (with tomatoes, dressing)",0,0.1612,0,0,2.07792,0,0,163.28,1.5808
27450100,"Tuna egg salad (with celery, mayo)",0,0.16432,0,0,1.97912,5.86872,1.77494,203.84,2.2776
27450410,Stir-fried shrimp and vegetables,0.03159,0.41877,0,0,0.86022,7.0713,0.80311,79.38,0.5184
27460490,"Chef salad, no dressing",0,0.36404,0,0.13756,0.75544,24.03576,0,71.44,1.9228
27460490,"Chef salad, no dressing",0,1.2933,0,0.4887,2.6838,85.3902,0,253.8,6.831
27460710,Chopped chicken liver,0,0.0806,0,0,0.962,7.27896,0,117.52,2.78148
27460750,Liver and onions,0,0.25883,0,0,3.01158,13.33332,0,177.32,1.3156
27510210,"Cheeseburger, plain on bun",2.53269,0,0,0.23968,1.16951,81.72018,12.17425,316.72,6.0776
27510240,Quarter pound cheeseburger on bun,3.14456,0,0,0.5152,2.6128,179.94096,15.10322,552,12.8064
27510300,Double cheeseburger on double deck bun,3.28832,0.38304,0,0.2576,2.17056,126.06048,17.14862,620.48,11.648
27510300,Double cheeseburger on double deck bun,3.1562,0.36765,0,0.24725,2.08335,120.99555,16.45961,595.55,11.18
27510360,Bacon cheeseburger on bun,4.39488,0.47808,0,0.4176,2.56608,216.40608,21.86098,745.92,14.7168
27510500,"Hamburger, plain on bun",2.52123,0,0,0,1.16436,50.0526,12.10809,269.7,3.9432
27510530,Quarter pound hamburger on bun,2.98272,0,0,0,2.75496,118.25892,14.32628,458.64,8.6268
27510540,Double hamburger on bun,2.38292,0.27388,0,0,2.20088,94.49352,21.37856,383.76,6.9044
27510700,Meatball Sub,2.44416,0.49044,0,0.201,3.60192,142.911,19.55876,611.04,11.0952
27513010,Roast beef sandwich,2.22264,0,0,0,3.03849,42.83874,9.10338,368.97,5.5272
27515010,Steak sandwich on roll,2.20952,0,0,0,3.2092,26.7741,10.61711,343.64,4.828
27515070,"Philly cheese steak (pepper, onion, roll)",3.02328,0.1938,0,0.56508,2.82132,56.51208,14.52327,485.52,7.6908
27520130,"Club sandwich (chicken, bacon, tomato)",3.63588,0.36408,0,0,2.69124,48.22092,15.51412,546.12,5.3874
27520130,"Club sandwich (chicken, bacon, tomato)",3.65066,0.36556,0,0,2.70218,48.41694,15.57718,548.34,5.4093
27520300,Ham sandwich with mayo,2.016,0,0,0,1.94992,13.88016,8.26483,271.04,2.8112
27540110,Chicken sandwich with mayo,2.05408,0,0,0,1.9824,0.17136,8.42867,265.44,1.6576
27540110,Chicken sandwich with mayo,4.32824,0,0,0,4.1772,0.36108,17.76042,559.32,3.4928
27540140,Fried chicken fillet sandwich,2.08908,0,0,0,2.65356,56.73402,9.42082,322.56,3.213
27550000,Fried fish sandwich with tartar sauce,3.42066,0,0,0.00423,1.833,54.30051,18.86163,373.65,3.1161
27550000,Fried fish sandwich with tartar sauce,6.1863,0,0,0.00765,3.315,98.20305,34.11146,675.75,5.6355
27560300,"Corn dog (hot dog, cornbread coating)",1.27072,0,0,0,1.11144,131.83632,8.9397,279.84,6.4944
27560350,Pig in a blanket (hot dog in dough),0.9673,0,0,0,1.06505,165.87495,0,275.4,6.4855
27560350,Pig in a blanket (hot dog in dough),0.2276,0,0,0,0.2506,39.0294,0,64.8,1.526
27560650,Sausage biscuit,2.1336,0,0,0,0.9128,236.71872,2.56683,437.92,12.8464
27560650,Sausage biscuit,1.08585,0,0,0,0.46455,120.47292,1.30633,222.87,6.5379
28110270,Beef sirloin frozen meal,0.49608,0.89232,0,0,2.73312,28.02384,0,274.56,4.4304
28110310,Salisbury steak frozen meal,0.73944,0.97656,0,0,2.1684,178.19568,0,461.76,13.0416
28141010,Fried chicken frozen meal,1.6848,0.90792,0.45864,0.00936,4.88592,305.1594,33.39417,1024.92,12.168
28141200,Chicken Teriyaki frozen meal,1.1218,0.47428,0,0,2.59008,53.8038,5.44704,360.68,4.402
28141250,Chicken with rice diet frozen meal,0.90134,0.44826,0.00723,0,2.54737,6.46362,7.99112,272.33,1.7352
28143080,Chicken fettuccine diet frozen meal,1.39298,0,0,0.02651,2.53532,9.08811,0.94013,265.1,1.0845
28145210,Turkey with dressing frozen meal,0.3276,0.69264,0.01872,0.0624,3.14808,128.10096,83.62488,483.6,6.1152
28154010,Shrimp with pasta diet frozen meal,1.63176,0.5772,0,0,1.53192,17.49384,8.36756,290.16,1.6848
28310110,Beef broth or consomme,0.0192,0,0,0,0,4.4712,0,16.8,0.264
28311010,Pepperpot soup or menudo soup,0.39524,0.11327,0,0,0.52056,35.46315,0.66593,103.63,2.0485
28315100,Chunky beef vegetable soup,1.212,0.3816,0,0,0.5664,10.6272,2.06751,170.4,2.544
28315140,Mexican beef vegetable soup,0,0.78153,0,0,0.70983,29.16756,0,143.4,2.1032
28315150,Pozole,0,0.36414,0,0,1.1067,16.72902,0,195.16,2.1182
28340310,Chicken gumbo soup,0.2562,0.2074,0,0,0.19764,6.17076,5.11611,56.12,0.3172
28340550,Sweet & sour soup,0.15128,0.4758,0.04636,0.00244,0.22692,0,23.71654,73.2,0.244
28340660,Chicken vegetable soup,0,0.76002,0,0,1.07311,0,0.23308,136.23,1.0038
28340670,Mexican chicken vegetable soup with rice,0.12826,0.8,0,0,0.73568,0,0,181.5,0.8954
28340750,Hot & sour soup,0.15128,0.24644,0,0,1.2932,38.40804,0,161.04,2.684
28345130,Cream of chicken soup (with water),1.06384,0.00244,0,0.00488,0.20496,62.56404,0.07932,117.12,2.074
28355120,New England clam chowder,0.35464,0.06944,0,0.50096,0.434,40.3992,0,148.8,1.86
28355250,Lobster bisque,0.18848,0.04712,0,0.77128,2.10056,109.74744,0,248,3.968
28500000,Chicken gravy,0.30048,0.00179,0,0.00416,0.08032,27.3587,0.08704,47.005,0.83895
28500040,Beef gravy,0.37164,0.00117,0,0.00058,0.09436,8.61343,0.00947,30.8725,0.66988
28500100,Mushroom gravy,0.2142,0.0119,0,0,0,1.46727,0.62862,16.065,0.11305
28522000,Mole poblana sauce,0.03644,0.11395,0.03511,0,0.44785,20.73758,0,78.175,1.30512
31103000,Hard or soft boiled egg,0,0,0,0,1,23.9895,0,77,1.625
31103000,Hard or soft boiled egg,0,0,0,0,0.1,2.39895,0,7.7,0.1625
31105000,Fried egg,0,0,0,0,1.00004,37.35936,0,89.24,1.8768
31109010,Egg white,0,0,0,0,0.66,0,0,17.16,0
31109010,Egg white,0,0,0,0,0.815,0,0,21.19,0
32102000,Deviled egg,0,0,0,0,0.5704,13.72959,0,62.31,1.2307
32103000,Egg salad,0,0,0,0,1.62171,38.97099,0.01804,352.98,6.3936
32103000,Egg salad,0,0,0,0,1,25.98066,0.01203,235.32,4.2624
32104950,Scrambled egg (cooked without fat),0,0,0,0.0774,1,22.9392,0,78,1.674
32104950,Scrambled egg (cooked without fat),0,0,0,0.13352,1.72535,39.57012,0,134.55,2.88765
32105000,Scrambled egg (cooked with fat),0,0,0,0.0775,1,38.4462,0,93.62,1.9964
32105000,Scrambled egg (cooked with fat),0,0,0,0.13375,1.72591,66.3507,0,161.57,3.4454
32202010,"Egg, cheese & ham on English muffin",1.82925,0,0,0.3429,1.82925,81.4293,3.31338,311.85,5.4405
32202030,"Egg, cheese & sausage on English muffin",1.85394,0,0,0.51516,1.58682,224.9532,3.3597,457.92,11.1777
